year,color,variety,bearing_acres,non_bearing_acres,total_acres,tons,price_per_ton_usd,value_usd
2016,red,Zinfandel,5070.5,20.0,5090.5,15287.7,2840.06,43418000
2016,red,Merlot,4115.7,24.6,4140.3,13761.0,1818.10,25018900
2016,red,Syrah - Shiraz,1575.6,13.5,1589.1,3618.1,2596.01,9392600
2016,red,Petite Sirah,694.5,4.2,698.7,3266.3,2797.89,9138700
2016,red,Malbec,551.5,4.7,556.2,2960.5,2629.78,7785500
2016,red,Cabernet Franc,578.5,28.5,607.0,1382.5,2955.14,4085500
2016,red,Petit Verdot,278.3,16.5,294.8,1332.0,2976.71,3965000
2016,red,Sangiovese/Sangioveto,316.9,0.0,316.9,1091.1,2314.48,2525300
2016,red,Grenache,152.7,3.6,156.3,739.7,2995.16,2215500
2016,red,Mataro/Mourvedere,41.6,0.9,42.5,771.5,2119.36,1635100
2016,white,Chardonnay,16078.1,505.5,16583.6,74954.2,2162.97,162123700
2016,white,Sauvignon Blanc,2709.6,144.9,2854.5,16144.4,1687.23,27239300
2016,white,Pinot Gris/Pinot Grigio,472.2,0.0,472.2,1496.3,1744.00,2609500
2016,white,Viognier,236.0,6.2,242.2,545.9,2433.54,1328500
2016,white,Semillon,102.7,0.0,102.7,407.9,2256.90,920600
2016,white,Sauvignon Musque,105.9,3.7,109.5,480.9,1638.37,787900
2016,white,White Riesling/Johannisberg Riesling,63.3,0.0,63.3,317.7,2263.02,719000
2016,white,Pinot Blanc,66.0,0.0,66.0,230.6,2017.30,465200
2016,white,Gewürztraminer,116.4,4.7,121.1,284.2,1599.07,454500
2016,white,Muscat Blanc/Muscat Canelli,15.0,0.0,15.0,165.6,2373.82,393100
2017,red,Cabernet Franc,565.0,35.6,600.6,1382.4,3335.31,4610700
2017,red,Cabernet Sauvignon,12530.9,530.4,13061.3,43157.9,3071.98,132580200
2017,red,Carignane,162.7,0.0,162.7,260.4,2665.76,694200
2017,red,Grenache,153.8,8.0,161.8,854.7,3076.99,2630000
2017,red,Malbec,536.0,11.3,548.3,1700.8,2953.95,5024100
2017,red,Mataro/Mouvedere,41.6,0.9,42.5,158.2,2895.20,458000
2017,red,Merlot,3978.8,22.6,4001.4,11611.1,1922.95,22327400
2017,red,Petite Sirah,688.8,4.2,693.0,2536.3,2905.75,7370000
2017,red,Petit Verdot,284.3,9.9,294.2,915.6,3156.58,2890200
2017,red,Pinot Noir,13414.3,423.8,13838.1,43439.1,3912.46,169953700
2017,red,Sangiovese,316.5,0.0,316.6,916.8,2400.63,2200900
2017,red,Syrah-Shiraz,1571.7,8.5,1580.2,3216.5,2779.67,8940800
2017,red,Zinfandel,4976.9,16.9,4993.9,12874.5,3006.42,38706200
2017,white,Chardonnay,15906.9,353.5,16260.4,61052.3,2335.36,142579100
2017,white,Gewurztraminer,121.1,0.0,121.1,241.7,1868.51,451600
2017,white,Muscat Blanc/Muscat Canelli,15.4,0.0,15.4,131.9,2327.32,307000
2017,white,Pinot Blanc,66.0,0.0,66.0,241.7,2146.29,518800
2017,white,Pinot Gris,468.2,4.0,472.2,1498.8,1804.43,2704500
2017,white,Roussanne,30.6,0.0,30.6,102.1,3260.35,332900
2017,white,Sauvignon Blanc,2645.9,106.0,2751.9,15815.2,1737.25,27475000
2017,white,Semillon,98.7,0.6,99.3,430.9,2138.82,921700
2017,white,Viognier,242.0,0.7,242.7,500.9,2572.92,1288800
2017,white,White Reisling,66.5,0.0,66.5,198.0,2213.34,438200
2018,red,Cabernet Franc,565.0,10.6,575.6,1832.6,3567.17,6537200
2018,red,Cabernet Sauvignon,12505.1,642.3,13147.4,56948.2,3113.75,177322500
2018,red,Carignane,162.7,9.7,172.4,406.9,2654.55,1080100
2018,red,Grenache,150.2,12.1,162.3,929.0,3025.64,2810800
2018,red,Malbec,536.0,9.3,545.3,2695.1,2894.42,7800800
2018,red,Mataro/Mouvedere,40.6,0.9,41.5,216.4,3236.82,700400
2018,red,Merlot,3940.8,10.2,3951.0,15492.0,1961.96,30394700
2018,red,Petite Sirah,685.3,2.0,687.3,2954.5,3088.27,9124300
2018,red,Petit Verdot,284.3,18.6,302.9,1324.8,3336.84,4420600
2018,red,Pinot Noir,13383.6,880.0,14263.6,58005.2,3802.05,220538700
2018,red,Sangiovese,211.4,0.0,211.4,1070.2,2477.26,2651200
2018,red,Syrah-Shiraz,1557.8,3.7,1561.5,3966.9,2773.75,11003200
2018,red,Zinfandel,4946.6,24.4,4971.0,15730.6,3102.26,48800400
2018,white,Chardonnay,15884.5,566.6,16451.1,88311.6,2367.00,209033600
2018,white,Gewürztraminer,121.1,0.0,121.1,258.4,2047.81,529200
2018,white,Muscat Blanc/Muscat Canelli,14.4,0.0,14.4,113.0,2063.11,233100
2018,white,Pinot Blanc,66.0,0.0,66.0,339.4,2145.20,728100
2018,white,Pinot Gris,397.6,4.2,401.8,1670.0,1811.98,3026000
2018,white,Roussanne,30.6,0.0,30.6,124.6,2929.74,365000
2018,white,Sauvignon Blanc,2711.5,46.7,2758.2,18918.0,1793.43,33928100
2018,white,Semillon,92.0,0.6,92.6,477.0,2189.56,1044400
2018,white,Viognier,236.6,1.2,237.8,691.7,2610.02,1805400
2018,white,White Reisling,51.0,0.0,51.0,195.3,2391.29,467000
2019,red,Cabernet Franc,562.0,13.0,575.0,1533.4,3815.93,5851300
2019,red,Cabernet Sauvignon,12082.0,539.0,12621.0,45948.3,3055.93,140414800
2019,red,Carignane,170.0,6.0,176.0,416.5,2591.56,1079400
2019,red,Grenache,183.0,43.0,226.0,806.1,3203.49,2582300
2019,red,Malbec,416.0,22.0,438.0,1863.0,3041.79,5666900
2019,red,Mataro/Mouvedere,63.0,10.0,73.0,182.8,3455.43,631700
2019,red,Merlot,4346.0,47.0,4393.0,12312.3,2000.15,24626400
2019,red,Petite Sirah,635.0,21.0,656.0,2628.3,3154.98,8300000
2019,red,Petit Verdot,249.0,4.0,253.0,1025.0,3403.84,3500000
2019,red,Pinot Noir,12509.0,585.0,13094.0,47178.3,3949.20,186316500
2019,red,Sangiovese,279.0,1.0,280.0,993.4,2576.02,2559000
2019,red,Syrah-Shiraz,1396.0,12.0,1408.0,3334.3,2811.92,9400000
2019,red,Zinfandel,4758.0,50.0,4808.0,14817.7,3143.05,46572800
2019,white,Chardonnay,15462.0,291.0,15753.0,72135.9,2414.28,174156300
2019,white,Gewürztraminer,105.0,0.0,105.0,220.3,1967.57,433500
2019,white,Muscat Blanc/Muscat Canelli,21.0,0.0,21.0,90.1,3110.20,280200
2019,white,Pinot Blanc,82.0,0.0,82.0,297.0,2276.11,676000
2019,white,Pinot Gris,427.0,2.0,429.0,1410.4,1907.19,2689900
2019,white,Roussanne,36.0,1.0,37.0,112.8,2892.79,326300
2019,white,Sauvignon Blanc,2528.0,55.0,2583.0,18074.2,1814.37,32793300
2019,white,Semillon,87.0,4.0,91.0,396.3,2498.42,990100
2019,white,Viognier,217.0,3.0,220.0,524.3,2696.32,1413700
2019,white,White Riesling,47.0,2.0,49.0,224.5,2293.27,514800
2020,red,Cabernet Franc,557.0,29.0,586.0,942.4,3534.95,3331300
2020,red,Cabernet Sauvignon,12089.0,631.0,12720.0,31137.9,2460.15,76603900
2020,red,Carignane,158.0,6.0,164.0,257.9,2447.30,631200
2020,red,Grenache,203.0,58.0,261.0,751.7,2509.56,1886400
2020,red,Malbec,414.0,16.0,430.0,1004.8,2643.18,2655900
2020,red,Mataro/Mouvedere,65.0,8.0,73.0,108.3,2874.98,311400
2020,red,Merlot,4175.0,17.0,4192.0,5652.8,1589.61,8985700
2020,red,Petite Sirah,641.0,42.0,683.0,1622.1,2706.91,4390900
2020,red,Petit Verdot,244.0,7.0,251.0,494.6,3184.33,1575000
2020,red,Pinot Noir,12516.0,497.0,13013.0,29263.7,3146.85,92088500
2020,red,Sangiovese,279.0,4.0,283.0,398.9,2364.77,943300
2020,red,Syrah-Shiraz,1352.0,29.0,1381.0,1581.5,2472.14,3909700
2020,red,Zinfandel,4654.0,105.0,4759.0,8397.0,2624.37,22036800
2020,white,Chardonnay,15030.0,482.0,15512.0,47877.7,2311.46,110667400
2020,white,Gewürztraminer,99.0,0.0,99.0,138.5,2098.65,290700
2020,white,Muscat Blanc/Muscat Canelli,17.0,0.0,17.0,82.5,2544.76,209900
2020,white,Pinot Blanc,84.0,0.0,84.0,132.9,2352.48,312600
2020,white,Pinot Gris,408.0,0.0,408.0,1040.6,1841.05,1915800
2020,white,Roussanne,36.0,0.0,36.0,63.2,2496.12,157800
2020,white,Sauvignon Blanc,2589.0,31.0,2620.0,14124.7,1553.92,21948700
2020,white,Semillon,89.0,6.0,95.0,299.7,2546.39,763200
2020,white,Viognier,215.0,0.0,215.0,320.0,2676.45,856500
2020,white,White Riesling,39.0,2.0,41.0,135.4,2327.10,315100
2021,red,Cabernet Franc,552.0,33.0,585.0,1150.4,3866.85,4448400
2021,red,Cabernet Sauvignon,12293.0,429.0,12722.0,41114.6,2728.69,112189000
2021,red,Carignane,156.0,2.0,158.0,280.7,2633.52,739200
2021,red,Grenache,211.0,55.0,266.0,898.4,3101.70,2786600
2021,red,Malbec,422.0,26.0,448.0,1577.2,3081.97,4860900
2021,red,Mataro/Mouvedere,71.0,11.0,82.0,179.1,3176.28,568900
2021,red,Merlot,4140.0,17.0,4157.0,7828.5,1961.32,15354200
2021,red,Petite Sirah,651.0,26.0,677.0,2163.9,2996.48,6484100
2021,red,Petit Verdot,242.0,6.0,248.0,983.1,3536.74,3477000
2021,red,Pinot Noir,12608.0,265.0,12873.0,48496.5,3512.27,170332800
2021,red,Sangiovese,278.0,4.0,282.0,879.7,2493.41,2193500
2021,red,Syrah-Shiraz,1326.0,34.0,1360.0,2450.6,2871.85,7037800
2021,red,Zinfandel,4613.0,116.0,4729.0,11660.0,3113.73,36306100
2021,white,Chardonnay,15049.0,451.0,15500.0,66833.0,2284.72,152694700
2021,white,Gewürztraminer,99.0,0.0,99.0,197.7,1997.98,395000
2021,white,Muscat Blanc/Muscat Canelli,17.0,0.0,17.0,93.4,2339.75,218500
2021,white,Pinot Blanc,84.0,0.0,84.0,183.5,2114.26,388000
2021,white,Pinot Gris,397.0,0.0,397.0,1157.6,1865.39,2159400
2021,white,Roussanne,36.0,3.0,39.0,75.4,3509.65,264600
2021,white,Sauvignon Blanc,2631.0,55.0,2686.0,13667.0,1730.94,23656800
2021,white,Semillon,95.0,3.0,98.0,322.1,2668.13,859400
2021,white,Viognier,203.0,3.0,206.0,456.1,2669.92,1217800
2021,white,White Riesling,28.0,2.0,30.0,138.3,750.00,103700
2022,red,Cabernet Franc,548.0,55.0,603.0,1282.9,4197.90,5385500
2022,red,Cabernet Sauvignon,12196.0,460.0,12656.0,41694.1,2970.68,123859800
2022,red,Carignane,152.0,3.0,155.0,261.0,2821.04,736300
2022,red,Grenache,226.0,57.0,283.0,858.6,3083.72,2647700
2022,red,Malbec,433.0,19.0,452.0,1494.2,3230.89,4827600
2022,red,Mataro/Mouvedere,72.0,10.0,82.0,202.1,3305.27,668000
2022,red,Merlot,4132.0,19.0,4151.0,6409.7,2117.16,13570400
2022,red,Petite Sirah,663.0,50.0,713.0,2518.1,3229.77,8132900
2022,red,Petit Verdot,241.0,9.0,250.0,1080.2,3817.60,4123800
2022,red,Pinot Noir,12693.0,187.0,12880.0,42550.2,3708.74,157807600
2022,red,Sangiovese,276.0,0.0,276.0,888.6,2607.24,2316800
2022,red,Syrah-Shiraz,1317.0,50.0,1367.0,2516.9,3052.32,7682400
2022,red,Zinfandel,4611.0,117.0,4728.0,10221.1,3345.02,34189800
2022,white,Chardonnay,15016.0,444.0,15460.0,59318.0,2439.57,144710400
2022,white,Gewürztraminer,99.0,1.0,100.0,303.1,2249.22,681700
2022,white,Muscat Blanc/Muscat Canelli,17.0,0.0,17.0,98.8,2271.37,224400
2022,white,Pinot Blanc,84.0,0.0,84.0,198.7,2147.37,426700
2022,white,Pinot Gris,376.0,0.0,376.0,947.2,1739.67,1647800
2022,white,Roussanne,37.0,2.0,39.0,81.9,3368.77,275900
2022,white,Sauvignon Blanc,2728.0,67.0,2795.0,14512.0,1921.43,27883800
2022,white,Semillon,96.0,2.0,98.0,310.5,2907.59,902800
2022,white,Viognier,203.0,2.0,205.0,430.7,2880.90,1240800
2022,white,White Riesling,27.0,2.0,29.0,108.4,3027.31,328200
2023,red,Cabernet Franc,548.0,59.0,607.0,1523.0,4558.35,6942400
2023,red,Cabernet Sauvignon,12284.0,436.0,12720.0,48847.0,3061.44,149542200
2023,red,Carignane,155.0,9.0,164.0,304.3,3056.35,930000
2023,red,Grenache,257.0,26.0,283.0,1576.6,3224.93,5084400
2023,red,Malbec,432.0,17.0,449.0,2050.5,3379.22,6929100
2023,red,Mataro/Mouvedere,75.0,8.0,83.0,231.9,3818.14,885400
2023,red,Merlot,4031.0,24.0,4055.0,9393.9,2206.07,20723600
2023,red,Petite Sirah,680.0,46.0,726.0,3082.2,3271.67,10083900
2023,red,Petit Verdot,245.0,6.0,251.0,1130.1,3884.86,4390300
2023,red,Pinot Noir,13024.0,88.0,13112.0,55159.4,3880.92,214069200
2023,red,Sangiovese,275.0,2.0,277.0,1124.8,2717.34,3056500
2023,red,Syrah-Shiraz,1329.0,32.0,1361.0,2465.6,3306.37,8152200
2023,red,Zinfandel,4611.0,39.0,4650.0,12973.2,3423.89,44418800
2023,white,Chardonnay,15127.0,389.0,15516.0,79239.4,2559.87,202842600
2023,white,Gewürztraminer,97.0,1.0,98.0,200.5,2911.55,583800
2023,white,Muscat Blanc/Muscat Canelli,17.0,0.0,17.0,155.2,2357.42,365900
2023,white,Pinot Blanc,84.0,0.0,84.0,207.4,2231.08,462700
2023,white,Pinot Gris,380.0,0.0,380.0,1086.9,1981.57,2153800
2023,white,Roussanne,37.0,2.0,39.0,87.1,3775.74,328900
2023,white,Sauvignon Blanc,2726.0,102.0,2828.0,17929.0,2054.22,36830100
2023,white,Semillon,99.0,2.0,101.0,384.0,2851.25,1094900
2023,white,Viognier,207.0,0.0,207.0,465.3,3126.04,1454500
2023,white,White Riesling,25.0,2.0,27.0,156.8,3267.16,512300
2024,red,Cabernet Franc,563.0,55.0,618.0,1295.9,4581.97,5937800
2024,red,Cabernet Sauvignon,12373.0,327.0,12700.0,39354.1,2920.71,114941900
2024,red,Carignane,155.0,9.0,164.0,305.2,2889.42,881900
2024,red,Grenache,281.0,6.0,287.0,1125.8,3263.57,3674100
2024,red,Malbec,454.0,9.0,463.0,2095.2,3373.06,7067200
2024,red,Mataro/Mouvedere,80.0,1.0,81.0,229.6,3674.54,843700
2024,red,Merlot,3761.0,16.0,3777.0,8029.6,2202.59,17685900
2024,red,Petite Sirah,693.0,22.0,715.0,2791.6,2943.32,8216600
2024,red,Petit Verdot,238.0,5.0,243.0,1022.2,3853.28,3938800
2024,red,Pinot Noir,12967.0,130.0,13097.0,49562.1,3890.39,192815900
2024,red,Sangiovese,273.0,2.0,275.0,1156.7,2797.51,3235900
2024,red,Syrah-Shiraz,1300.0,21.0,1321.0,2348.1,3347.20,7859600
2024,red,Zinfandel,4600.0,23.0,4623.0,11116.8,3234.32,35955300
2024,white,Chardonnay,14870.0,413.0,15283.0,72594.2,2590.41,188048700
2024,white,Gewürztraminer,95.0,1.0,96.0,197.8,2395.39,473800
2024,white,Muscat Blanc/Muscat Canelli,15.0,0.0,15.0,100.1,2303.71,230600
2024,white,Pinot Blanc,81.0,0.0,81.0,229.4,1841.41,422400
2024,white,Pinot Gris,374.0,0.0,374.0,991.2,1952.36,1953200
2024,white,Roussanne,40.0,0.0,40.0,88.3,3653.43,322600
2024,white,Sauvignon Blanc,2751.0,198.0,2949.0,15853.1,2024.54,32095200
2024,white,Semillon,94.0,1.0,95.0,423.4,2836.90,1201100
2024,white,Viognier,209.0,0.0,209.0,448.5,3229.17,1448300
2024,white,White Riesling,23.0,0.0,23.0,152.7,3362.26,513400
